Abasement,humiliation; degradation
Cloture,closure; terminating a debate by voting	
Coda,piece of music at the end of a musical work; finale; final part of document
Coerce,force [coercion (n); coercing (a)]
Cognitive,concerned with thinking or perceiving [cognition (n)]
Colander,bowl with holes used to drain vegetables etc.
Colloquial,local and informal (used of language)
Collusion,plotting and planning
Comeliness,beauty; prettiness [comely (a)]
Commandeer,take possession of
Commensurate,equal in significance
Commingle,mix
Complacent,self-satisfied; smug
Complaisance,flexibility; willingness to please [complaisant (a)]		
Compliant,easy to control; submissive
Concatenate,link together
Concatenation,linking into chains
Conciliate,to bring together; end a dispute
Concise,stated in few words
Condescend,talk down to
Condescension,talking down to someone [condescending (a)]
Condone,tacitly support; overlook
Condoning,overlooking; disregarding; ignoring
Conflagration,big fire
Confound,confuse
Congeal,to solidify
Congenital,present from birth
Congruent,matching [congruency (n)]
Conniving,cunning; scheming [connive (v)]
Connoisseur,person with refined taste and good judgment
Conscript,1. person enlisted compulsorily into the armed forces; 2. (v) to enlist compulsorily
Consecrate,dedicate
Consensus,general agreement
Conspicuous,easily seen; prominent
Consternation,worry and concern
Consummate,complete; total; supremely good
Contemporary,living or happening at the same time
Contentious,causing argument [contention (n); contend (v)]
Contiguous,adjacent; touching; abutting [contiguity (n)]
Contrite,sorry
Contrition,sorrow and repentance
Contumacious,stubborn
Contusion,a bruise
Conundrum,a puzzle
Conventional,usual; customary; common
Cornucopia,symbol (horn filled with fruit etc.) denoting natural abundance
Corpulent,fat
Corroborate,give supporting evidence [corroboration (n)]
Corrugated,highly folded
Coterie,clique; small group with common interests
Counterfeit,fake; false
Covert,hidden; undercover
Cower,recoil in fear or servility; shrink away from
Credible,believable
Creditable,praiseworthy
Credulous,gullible; ready to believe anything
Crepuscular,active at dawn and dusk
Cringe,recoil; flinch; shy away
Cryptic,puzzling; enigmatic
Culpability,guilt [culpable = blameworthy]
Cumbersome,bulky; difficult to carry [encumber = to burden]
Curtail,cut short
Cynical,believing that people act only out of selfish motives
Daguerreotype,forerunner of the photograph
Dally,waste time; flirt
Damp,(used of vibration) reduce in extent
Dawdler,slow person who falls behind others [dawdle (v)]
Debacle,disaster		
Debilitating,weakening [debilitate (v)]
Debility,weakness; incapacity
Debunking,exposing false claims or myths
Decathlon,an athletic competition with ten events
Decimated,kill or destroy a large part of (originally one tenth)
Decorum,"dignified, correct behavior [decorous (a)]"
Decoy,lure; trap; trick
Deference,respect
Deferential,showing respect [deference (n); defer (v)]
Defoliate,cause leaves to fall off
Defunct,no longer in existence
Degradation,deprivation; poverty; debasement
Deign,condescend
Deleterious,harmful
Deliberate,1. slow (a); 2. to think over (v); 3. on purpose (a)
Deliberate,to think over deeply
Delineation,demarcation; explanation; definition; outlining
Demagogue,mob leader (who appeals to base instincts) [demagogy/demagoguery (n)]
Demur,hesitate; refuse
Demur,object; hesitate to accept
Denigrate,decry; criticize; belittle
Denounce,condemn; speak out against
Deplete,use up; lessen
Deplore,regret
Depravity,moral corruption
Deprecate,criticize; denounce
Deride,ridicule; make fun of; mock
Derision,mockery [deride (v)]
Derogatory,uncomplimentary
Descry,to see (esp. at a distance); catch sight of
Desecrate,to damage or pollute a holy place
Desecration,spoiling something holy
Desist,stop; discontinue; cease
Despondent,having no hope; miserable
Destitution,hardship; poverty; misery
Desultory,aimless; inconsistent in effort
Deter,put off; prevent
Deteriorate,worsen; decline
Detrimental,harmful
Devoured,greedily eaten/consumed
Dexterity,"skill, esp. with hands [dexterous (a)]"
Dexterous,skilful with hands
Diaphanous,transparent; thin and delicate
Dichotomy,a division into two parts
Didactic,intended to teach; instructive
Diffident,lacking confidence
Digress,wander off the subject
Dike,dam; embankment
Dilatory,slow; falling behind with one's work
Dilemma,puzzling situation
Dilettante,person who dabbles in a subject without serious study
Dilettantism,dabbling esp. in the arts [dilettante (n) = person who dabbles]
Diligent,hard-working
Diorama,model of a scene
Dirge,mournful song
Disabuse,make someone aware of an error in thinking
Disapprobation,disapproval
Discern,to distinguish one thing from another
Discernment,judgment; perceptiveness
Discord,disagreement
Discordancy,cacophony; harshness; jarring
Discrepancy,something which does not match up; inconsistency
Discriminate,to make a clear distinction; see the difference
Discursiveness,long windedness; indirectness
Disdain,contempt; strong dislike
Disingenuous,crafty
Disinter,dig up [opposite  inter = bury]
Dispatch,1. send (v); 2. speed; celerity (n)
Doff,take off (esp. of a hat)
Don,put on (esp. of clothes)
Dotard,foolish old man
Drawl,speak slowly with words running together
Drivel,nonsense
Droll,dryly amusing
Drone,1. monotonous noise (n); 2. to speak with no emotion (v); 3.male bee
Dross,something worthless; impurities left after refining
Dubious,doubtful
Dupe,to fool someone
Duplicity,cunning; deception; double dealing	
Dynamic,lively; vibrant; energetic
Ebullient,very lively; cheerful; jovial; happy
Eccentric,unusual; quirky; odd
Eclectic,taking things from different sources
Edifice,building; structure; construction
Efface,wipe out; remove all trace of
Effigy,a model of a person
Effrontery,daring; audacity (has a negative connotation)
Effusive,gushing; demonstrative
Egalitarianism,belief in equality
Egregious,"outstandingly, obviously bad"
Egress,exit
Ellipsis,omission of essential words
Eloquent,fluent and persuasive in speech
Elucidate,make clear
Elusive,hard to pin down
Emaciated,very thin; withered
Emancipate,set free
Embezzle,defraud; steal
Embroil,involve in hostility or argument
Emerge,come out; appear
Emollient,softening (a); something which softens (n)
Empirical,found by experiment or practice
Emulate,to imitate something admired
Encomium,praise
Endorse,give support or approval to
Endurance,staying power; patience; stamina
Enduring,lasting
Enervate,weaken
Enfranchise,give voting rights
Engender,cause
Engendering,causing; bringing into being [engender (v)]
Enhance,improve; make better or clearer
Enigma,puzzle; mystery
Ensconce,establish firmly in a position
Enshroud,cover
Enunciation,clear pronunciation; accent; articulation
Envenom,to cause bitterness and bad feeling
Ephemeral,short-lived
Epicure,someone who appreciates good food and drink
Epigram,"short, witty saying"
Epistemology,theory of knowledge
Epistle,a letter (form of communication)
Epistolary,concerned with letters; through correspondence
Epitomized,typified; characterized; personified
Equivocal,"ambiguous; open to interpretation [equivocate (v), equivocation (n)]"
Equivocate,speak ambiguously; avoid telling the truth
Equivocation,"speaking ambiguously [equivocate (v), equivocal (a)]"
Err,make a mistake
Erratic,wandering; irregular
Erudition,learning; scholarly knowledge [erudite (a)]
Esoteric,obscure and difficult to understand
Espouse,promote; take up; support
Etymology,the study of word origins
Eulogy,praise
Euphemism,a polite phrase to cover something unpleasant
Euphony,pleasant sounds
Evacuate,vacate; empty; abandon
Evanescent,short-lived [evanescence (n)]
Exacerbate,make worse
Exacerbated,made worse [exacerbate (v); exacerbation (n)]
Exact (v),to demand; extort	
Exasperated,frustrated; annoyed
Exceptionable,very bad (something which we should object to)
Exculpate,free someone from blame; pardon; acquit
Execrable,"very, very bad"
Exegesis,scholarly explanation or interpretation
Exemplary,outstandingly good; setting a fine example
Exemplify,to serve as a good example
Exhaustive,complete and thorough
Exigency,urgent matter; pressing need
Exonerates,acquits; absolves; removes blame
Exorcism,getting free/rid of; eliminating (especially demons)
Expatriate,refugee; emigrant; someone living away from his own country
Expedient,convenient; practical
Expedite,make faster
Expiate,atone; make amends for
Exposition,clear explanation
Expostulate,offer strong objections; remonstrate
Extant,still in existence (opposite of extinct)
Extemporize,speak without preparation or rehearsal [extemporaneous (a)]
Extirpate,wipe out totally
Extirpation,wiping out; complete destruction [extirpate (v)]
Extol,praise
Extradite,deport from one country back to the home country
Extraneous,irrelevant
Extrapolate,extend; predict on the basis of known data
Extrinsic,irrelevant; on the outside
Facetious,not intended to be taken seriously
Faddish,whimsical; following a fashion
Fallacious,false
Fallible,capable of making mistakes [fallibility (n)]
Falter,hesitate; waver
Fanatical,obsessive; fixated
Fanaticism,passion; excessive devotion
Fastidious,overly particular; finicky
Fatuous,silly; foolish
Fawn,behave in a sycophantic way; grovel [fawning (a)]
Feasible,possible and practicable
Feckless,feeble; helpless; lacking in initiative
Fecund,fertile
Feint,pretended attack; a move intended to deceive
Felicitous,apt
Fervor,passion; enthusiasm
Fickle,unpredictable; whimsical; easily swayed
Finesse,skill
Fitful,not continuous; stopping and starting
Flagrant,clearly wrong
Flamboyant,showy; ornate
Flaunt,show off; display in a showy manner
Flippant,making jokes about serious matters
Foible,quirk; minor weakness
Foppish,behaving or dressing like a dandy; excessively concerned with fashion
Foreshadowed,indicated a future event [foreshadow (v)]
Froward,stubborn; wayward; disobedient
Furrow,groove
Furtive,hidden and secret
Futile,useless; hopeless
Gaffe,blunder; social mistake
Gainsay,contradict
Galleon,ancient type of sailing ship
Gambol,frolic; leap; bound
Garble,distort; confuse; muddle
Garish,gaudy
Garner,gather; collect
Garrulous,talkative
Gaucherie,awkwardness [gauche (a)]
Gaunt,emaciated; bony and angular
Genre,a category; type
Germane,relevant
Germinal,just growing; not developed; immature
Gibbering,making meaningless noises
Glacial,hostile; unfriendly; cold; icy
Glib,slick; superficial esp. in speech
Goad,prod; urge
Grate (v),1. to annoy; aggravate; vex; 2. shred
Gratis,free of charge; without payment
Gratuitous,unwarranted
Gravity,seriousness
Gregarious,extroverted; sociable; outgoing
Gregariousness,sociability; liking for crowds [gregarious (a)]
Gritty,coarse; granular
Guffaw,sudden loud laughter
Guile,cunning; craftiness
Guileless,frank; straightforward; honest
Gullibility,unwariness; trustfulness; being easily fooled
Gullible,easily fooled
Gustatory,concerned with the sense of taste
Hackneyed,common and over-used
Halcyon,peaceful and happy; calm (esp. of summer weather)
Hallowed,worshipped; consecrated
Hamper,hinder; obstruct
Hangar,storage area (like garage) for a plane
Hapless,unlucky
Harangue,"noisy, attacking speech"
Harbingers,indicators; bringers of warnings
Hasten,hurry; accelerate; rush
Haughtiness,arrogance; pride
Headstrong,stubborn; willful
Hedonism,self indulgence; pleasure-seeking
Hedonist,a pleasure seeker
Heed,listen to
Heresy,against orthodox opinion
Heterodox,unorthodox
Hiatus,interruption; pause
Hidebound,rigid in opinions
Hieroglyphics,1. picture writing; 2. writing which is difficult to read or enigmatic
Hinder,obstruct
Histrionic,theatrical; exaggerated
Hoary,old
Hone,sharpen; increase; whet
Hortatory,encouraging; exhorting
Hyperbole,exaggeration [hyperbolic (a)]
Hyperbole,grossly exaggerated speech
Hypochondriac,a person obsessed with health; having imaginary illnesses
Hypocritical,insincere
Iconoclast,person who opposes orthodoxy
Idiosyncrasy,a personal peculiarity; something unique to an individual
Idyll,story or incident in peaceful or ideal setting [idyllic (a)]
Ignominious,shameful
Ignominy,shame [ignominious (a) = shameful]
Illuminate,to light up or make clear
Illusory,deceptive; false; misleading
Immoderate,excessive; extreme
Immutable,unchanging; permanent
Impartial,unbiased; neutral
Impecunious,having no money
Imperturbability,quality of being calm and not easily disturbed [imperturbable (a)]
Impious,wicked; profane
Importune,beg; solicit [importunate (a)]
Impoverished,destitute; poor
Impromptu,unrehearsed; spontaneous
Impugned,challenged; called into question
Inadvertent,not intentional
Incantation,chant; invocation; prayer
Incarceration,putting in prison
Incessant,without stopping
Inchoate,undeveloped; nascent
Incipient,just beginning
Incise,cut into [incision (n); incisive (a)]
Inclination,tendency; a leaning toward
Incoherent,not clear
Incongruous,not fitting in; out of place
Inconsequential,unimportant; insignificant; negligible
Inconspicuous,not easily seen; subtle; not noticeable
Incumbents,occupiers of a job or position
Indelible,cannot be wiped out
Indifferent,1. neutral;  2. not outstanding
Indigenous,native to a particular area
Indolence,laziness
Inductee,novice; beginner
Indulgent,pampering; satisfying desires
Inebriation,drunkenness; intoxication
Ineffable,cannot be expressed in words
Inept,incompetent; unskilled; useless
Inertia,inactivity; lethargy
Inevitable,cannot be avoided
Inexorable,relentless
Inexpedient,not advisable
Infallible,perfect; flawless; cannot make mistakes
Infamous,famous for something bad
Infer,deduce; conclude
Iniquitous,evil; unjust [iniquity (n)]
Inscrutability,quality of being difficult to comprehend [inscrutable (a)]
Instigator,troublemaker; person who entices others to do something
Insurgent,a rebel
Intangible,cannot be touched; abstract [intangibility (n)]		
Intemperate,excessive; immoderate [intemperance (n)]
Interminable,never-ending
Intermittent,sporadic; irregular
Interregnum,interval between reigns or governments
Intractability,stubbornness; resistance [intractable (a)]
Intransigence,stubbornness
Intransigent,stubborn; unyielding
Intrepid,brave
Inured,hardened; habituated
Inveigle,coax; cajole; wheedle; entice
Inveterate,habitual
Invidious,arousing envy
Inviolable,cannot be invaded
Irascible,easily angered
Ire,anger [irate (a) = very angry]
Irksome,annoying; infuriating
Ironic,satiric; unexpected
Irrational,unreasonable; absurd
Irreproachable,cannot be criticized; perfect
Irrevocable,cannot be cancelled; unchangeable
Itinerant,nomadic; wandering from place to place
Jaded,tired; bored; worn out
Jargon,specialized language used by experts
Jaundiced,cynical; pessimistic
Jaunt,short pleasure trip
Jeopardize,put at risk; endanger
Jingoistic,extremely patriotic; nationalistic
Jocular,in a joking manner
Jollity,gaiety; happiness
Jubilant,ecstatic; delighted; rejoicing
Judicious,correct in judgment; wise
Jurisprudence,science or study of law
Juxtapose,place next to
Kindle,to start a fire
Knotty,complex; difficult to solve
Labile,changing rapidly; unstable
Labyrinth,a maze
Labyrinthine,complicated; highly convoluted
Laceration,a cut
Lachrymose,tearful; sad
Lackluster,dull; monotonous; bland
Laconic,using few words; brief; to the point
Lambaste,attack verbally	
Lamentation,expression of regret or sorrow
Lampoon,ridicule; spoof
Lance,spear; spike; javelin
Languid,tired; slow
Languish,decay; fade away; get weaker
Larceny,theft; robbery; stealing
Largess,generosity
Laud,praise
Lavish,on a grand scale; wasteful
Lax,careless; not strict
Legend,1. key to map;  2. myth or story
Legion,in large numbers
Lethargic,tired; without energy
Levity,flippancy; joking about serious matters
Libertarian,someone who opposes tyranny
Libertine,dissolute person; prodigal
Limerick,short amusing poem
Liniment,soothing lotion
List (v),1. to lean to one side; 2. to write in order
Lithe,flexible; supple
Livid,very angry
Lobbyist,person who tries to persuade someone to support a particular cause
Lofty,snooty; arrogant; haughty
Longevity,long life
Loquacious,talkative
Lucid,clear
Ludicrous,ridiculous; silly
Lugubrious,sad; gloomy
Lukewarm,1. unenthusiastic; 2. neither hot nor cold
Luminary,eminent person
Lummox,clumsy person
Luscious,juicy; moist; succulent
Lynch,assassinate; kill; illegal hanging
Machinations,plots and plans
Maelstrom,whirlpool; storm in the ocean
Magnanimous,generous; big-hearted
Magnate,powerful businessman
Maladroit,clumsy; unskillful
Malady,illness
Malapropism,use of similar sounding but incorrect word
Malediction,a curse
Malefactor,a wrong-doer
Malinger,deliberately avoid work; shirk
Malingerer,person who deliberately tries to avoid work
Malleable,flexible; can be shaped
Mallet,1. wooden hammer; 2. stick used for polo
Manipulatable,influencable; controllable
Mannered,stylized; pretentious
Marred,damaged; spoiled
Marshal,to gather together
Marsupial,pouched mammal (like a kangaroo)
Martinet,person who believes in strict discipline
Masochist,person who intentionally inflicts pain on himself
Matriarchy,society governed by women
Maudlin,sad; sentimental; inclined to weep
Maverick,a loner
Meager,in short supply
Meander,wander from side to side
Mellow,soft; melodious; ripe
Menagerie,collection of animals
Meretricious,falsely attractive; tawdry
Mettlesome,spirited [mettle (n)]
Millinery,hats and hat-making
Minatory,threatening
Minion,underling; servant
Misconstrue,put a wrong interpretation on something
Misnomer,wrong name
Misogynist,hater of women
Misrepresentation,deliberately deceiving
Mitigate,lessen; make less severe
Modest,1. bashful; unpretentious; 2. not excessive
Modicum,small amount
Momentous,very important
Monotonous,dull; unvarying
Moralistic,concerned with morals [moralize (v)]
Moratorium,temporary prohibition or halt to activity
Moribund,on the point of death
Morose,gloomy; bad tempered
Mundane,ordinary; worldly
Munificent,generous; charitable
Mutinous,very rebellious
Myriad,in large numbers
Nascent,emerging; newly formed
Natty,neat; dapper; smart
Navigable,suitable for sailing
Nebulous,vague
Nefarious,wicked; immoral; disreputable
Negate,cancel; deny
Negligence,carelessness
Neologism,newly coined word
Nettle,annoy
Niggardly,miserly; stingy
Noisome,disgusting
Nomadic,wandering from place to place
Nonchalance,an appearance of indifference; calm and composed
Nondescript,having no special features; dull and ordinary
Nonentity,a person of no importance; not famous
Nonplussed,confused
Nostalgia,longing for the past
Notoriety,infamy; known for wrong doing
Novel,new; unusual
Novice,a beginner; tyro
Noxious,harmful; poisonous; lethal
Nuance,something subtle; a fine shade of meaning
Nugatory,of minor significance; futile
Nullify,to counter; make unimportant
Nuzzle,cuddle; snuggle
Obdurate,stubborn
Obfuscate,deliberately make something difficult to understand
Objective,unbiased; not subjective
Oblique,indirect; slanting
Obliterate,destroy; demolish; eradicate
Oblivious,totally unaware
Obscure,difficult to understand; partially hidden
Obscured,hidden; covered; buried
Obsequious,servile; submissive
Obsession,a dominating concern
Obsolete,no longer valid
Obstreperous,noisy and boisterous
Obtuse,mentally dull
Obviate,avoid; make unnecessary
Occluded,obscured; blocked
Odious,hateful
Officious,domineering; intrusive; meddlesome
Ogle,stare at; observe in an obvious manner
Olfactory,concerned with the sense of smell
Ominous,threatening
Omnipotent,all-powerful
Omniscient,all-knowing
Onerous,burdensome; hard to undertake
Onus,burden
Opaque,does not let light through
Opprobrious,expressing great scorn [opprobrium (n)]
Opulent,wealthy; rich; magnificent
Ordain,1. destine; 2. confer holy orders on a priest
Ornate,highly decorated
Orthodox,conventional
Ossified,turned to bone; become rigid [ossification (n)]
Ossify,1. turn to bone; 2. become fixed and rigid
Ostentatious,showy
Ostracism,shunning; social isolation [ostracize (v)]
Oust,push out of a position
Overt,obvious; not hidden
Overwrought,worked up; in an emotional state
Paean,praise; tribute (esp. in song)
Palatable,good to eat; agreeable
Palisade,fence made of posts
Palliative,a remedy that improves but doesn't cure
Pallid,pale
Palpable,easily felt; easily perceived
Panacea,remedy for all ills
Paradigm,1. example; 2. model; 3. way of looking at things
Paradox,apparently contradictory statement
Paragon,a perfect example
Paramount,of supreme importance
Parasite,1. scrounger; 2. animal which takes digested food from another
Parched,dried up
Pariah,an outcast from society
Parity,equality
Parochial,narrow-minded; concerned only with local matters
Parody,a mockery; imitation for ridicule; spoof
Parry,ward off; avoid
Parsimonious,economical; frugal; thrifty
Parsimony,stinginess; frugality; cost-cutting
Partisan,biased; one-sided; committed to one group
Pastiche,"work (usually artistic) which imitates, or is composed of parts taken from varied sources"
Pathos,evoking sadness or pity
Patron,one who give support (usually financial)
Patronize,condescend to; behave in an arrogant manner towards
Pedagogy,science of education; teaching
Penchant,inclination; leaning; tendency; predilection
Percipient,perceptive; insightful
Perdition,damnation
Peremptory,in a commanding manner
Perennial,long-lasting
Perfidy,treachery
Perfunctory,superficial; cursory
Peripatetic,nomadic; moving from place to place
Peripheral,on the edge; not important
Perjury,telling lies under oath
Pernicious,destructive; harmful
Perpetuated,caused to continue
Perpetuity,eternity
Persnickety,fastidious; fussy
Personable,attractive
Perspicacious,insightful; sharp; wise
Perspicacity,insight
Pertain,be relevant to [pertinent (a)]
Pertinent,relevant
Peruse,read carefully
Pervasive,spreading everywhere
Petrify,1. terrify; 2. turn to stone
Petulant,sulky; peevish
Phenomenon,an event or happening (plural: phenomena)
Philanthropy,charity; love of mankind
Philistine,uncultured person
Phlegmatic,calm; imperturbable
Pillage,plunder
Pinnacle,topmost point
Pious,very religious
Pivotal,of central importance
Placate,pacify; soothe; calm
Placebo,harmless medicine with no effect; dummy medicine
Placid,calm; peaceful
Plagiarism,taking credit for someone else's writing or ideas
Plaintiff,petitioner (in court of law)
Plaintive,sad; mournful	
Plaudit,statement giving strong praise
Plausible,can be believed; reasonable
Plethora,an excess
Pliable,flexible; not stubborn
Pluck (n),courage
Plumage,feathers of a bird
Plumb,measure depth of (v); exact (a. slang)
Plummet,fall suddenly and steeply
Podium,raised platform
Poignant,deeply moving; strongly affecting the emotions
Poised,calm; collected; self-possessed
Polemical,causing debate or argument
Ponderous,weighty; slow and heavy
Pontificate,speak pompously or dogmatically
Portend,foretell
Portent,a warning sign; omen
Poseur,someone who puts on an act
Posterity,future generations
Posthumous,after death
Postulate,hypothesize; propose
Posture (v),to put on an act
Potable,suitable for drinking
Potent,powerful; compelling; strong
Pragmatic,practical
Pragmatist,practical person; one who is concerned with usefulness
Preamble,introductory material
Precarious,unstable; risky
Precedent,a previous occurrence used as a guide
Precept,guiding principle
Precinct,district of a city
Precipice,steep slope
Precipitous,done in a hurry
Preclude,prevent or make impossible
Precocious,developing early
Predecessor,one who came before
Predicament,dilemma; difficult situation
Preeminent,famous; outstanding
Prerogative,right or privilege
Prescient,having fore-knowledge
Presentiment,a feeling that something might happen
Presumptuous,assuming too much; arrogant
Pretentious,pompous; self-important
Prevaricate,speak misleadingly and evasively
Pristine,unspoiled
Probity,uprightness; honesty
Proclivity,tendency towards
Procrastinate,delay; put off
Prodigal,wasteful; extravagant
Prodigious,very large
Profane,unholy
Profanity,swearing; cursing
Profound,having deep meaning
Profundity,depth
Proletarian,member of the working class
Prolific,producing a lot
Prolixity,wordiness [prolix (a)]
Proponents,promoters; supporters
Prosaic,dull; boring; ordinary
Proscribe,forbid
Prosody,study of versification
Prostration,1. lying face down; 2. be overcome with extreme weakness
Protagonist,"main character in film, book, play etc."
Proximate,immediate; nearest
Pugnacious,"aggressive, ready to fight [pugnacity (n)]"
Puissance,power
Quaff,drink down quickly
Quagmire,marsh; bog
